age_s,dmarried_s,empl_06,salary_06,profit_06,days_06,hours_06,contract_06,dformal_06,educ_s,city,age_lb,dmarried_lb,empl_04,salary_04,profit_04,days_04,hours_04,contract_04,dformal_04,educ_lb,select,pempl_06,pempl_04,dcontinue,codigo_ecap,codigo_curs,dwomen,p_selecap
25.0,0.0,1.0,408000.0,0.0,26.0,48.0,0.0,0.0,11.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,control,1.0,0.0,1.0,3.0,93620005.0,0.0,0.6666667
25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,24.0,0.0,1.0,358000.0,0.0,26.0,48.0,1.0,1.0,11.0,selected,0.0,1.0,1.0,3.0,63110010.0,1.0,0.6666667
26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,24.0,1.0,1.0,0.0,200000.0,30.0,21.0,0.0,0.0,10.0,control,0.0,0.0,1.0,3.0,93620005.0,1.0,0.6666667
21.0,0.0,1.0,380000.0,0.0,25.0,66.0,0.0,0.0,11.0,1.0,20.0,0.0,1.0,340000.0,0.0,30.0,70.0,0.0,0.0,11.0,control,1.0,1.0,1.0,3.0,63110010.0,0.0,0.6666667
22.0,0.0,1.0,0.0,50000.0,4.0,4.0,0.0,0.0,11.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,selected,0.0,0.0,1.0,3.0,66210010.0,1.0,0.6666667
21.0,0.0,1.0,280000.0,0.0,15.0,45.0,0.0,0.0,11.0,1.0,19.0,0.0,1.0,0.0,150000.0,20.0,27.0,0.0,0.0,11.0,control,1.0,0.0,1.0,3.0,93620005.0,0.0,0.6666667
25.0,1.0,1.0,420000.0,0.0,28.0,48.0,1.0,1.0,11.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,selected,1.0,0.0,1.0,3.0,93620005.0,0.0,0.6666667
24.0,0.0,1.0,200000.0,0.0,26.0,40.0,0.0,0.0,11.0,1.0,22.0,0.0,1.0,200000.0,0.0,30.0,72.0,0.0,0.0,11.0,selected,1.0,1.0,1.0,3.0,66210010.0,1.0,0.6666667
21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,control,0.0,0.0,1.0,3.0,66210010.0,1.0,0.6666667
25.0,0.0,1.0,260000.0,0.0,16.0,84.0,0.0,0.0,11.0,1.0,23.0,0.0,1.0,300000.0,0.0,26.0,42.0,0.0,0.0,11.0,control,1.0,1.0,1.0,3.0,63110010.0,1.0,0.6666667
27.0,0.0,1.0,408000.0,0.0,30.0,48.0,1.0,1.0,11.0,1.0,25.0,0.0,1.0,225000.0,0.0,20.0,28.0,1.0,1.0,11.0,selected,1.0,1.0,1.0,3.0,93620005.0,0.0,0.6666667
20.0,0.0,1.0,180000.0,0.0,20.0,20.0,1.0,1.0,11.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,control,1.0,0.0,1.0,3.0,13140010.0,1.0,0.6666667
23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,control,0.0,0.0,1.0,3.0,63110010.0,1.0,0.6666667
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,selected,0.0,0.0,1.0,3.0,63520505.0,1.0,0.6666667
21.0,0.0,1.0,200000.0,0.0,26.0,90.0,0.0,0.0,11.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,control,1.0,0.0,1.0,3.0,63110010.0,1.0,0.6666667
23.0,1.0,1.0,408000.0,0.0,30.0,56.0,1.0,1.0,11.0,1.0,22.0,1.0,1.0,358000.0,0.0,30.0,63.0,1.0,1.0,11.0,control,1.0,1.0,1.0,3.0,93620005.0,0.0,0.6666667
25.0,0.0,1.0,0.0,200000.0,30.0,56.0,0.0,0.0,11.0,1.0,23.0,0.0,1.0,200000.0,0.0,15.0,48.0,0.0,0.0,11.0,selected,0.0,1.0,1.0,3.0,63110010.0,0.0,0.6666667
21.0,0.0,1.0,50000.0,0.0,20.0,25.0,1.0,0.0,11.0,1.0,19.0,0.0,1.0,150000.0,0.0,20.0,30.0,1.0,0.0,11.0,control,1.0,1.0,1.0,3.0,66210010.0,1.0,0.6666667
23.0,0.0,1.0,800000.0,0.0,29.0,70.0,0.0,0.0,11.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,selected,1.0,0.0,1.0,3.0,13140010.0,0.0,0.6666667
27.0,0.0,1.0,0.0,180000.0,30.0,42.0,0.0,0.0,11.0,1.0,25.0,0.0,1.0,350000.0,0.0,30.0,84.0,0.0,0.0,11.0,control,0.0,1.0,1.0,3.0,13140010.0,0.0,0.6666667
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,19.0,0.0,1.0,520000.0,0.0,30.0,70.0,0.0,0.0,11.0,control,0.0,1.0,1.0,3.0,13140010.0,1.0,0.6666667
24.0,0.0,1.0,408000.0,0.0,26.0,60.0,1.0,1.0,11.0,1.0,23.0,0.0,1.0,140000.0,0.0,20.0,28.0,0.0,0.0,11.0,control,1.0,1.0,1.0,3.0,93620005.0,0.0,0.6666667
23.0,1.0,1.0,250000.0,0.0,26.0,48.0,0.0,0.0,8.0,1.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,control,1.0,0.0,1.0,3.0,66210010.0,1.0,0.6666667
21.0,1.0,1.0,381500.0,0.0,26.0,66.0,1.0,1.0,11.0,1.0,20.0,0.0,1.0,200000.0,0.0,26.0,66.0,0.0,0.0,11.0,selected,1.0,1.0,1.0,3.0,13140010.0,0.0,0.6666667
25.0,1.0,1.0,408000.0,0.0,26.0,48.0,1.0,1.0,11.0,1.0,23.0,0.0,1.0,300000.0,0.0,30.0,48.0,0.0,0.0,11.0,control,1.0,1.0,1.0,3.0,63520505.0,0.0,0.6666667
24.0,0.0,1.0,200000.0,0.0,30.0,98.0,0.0,0.0,11.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,control,1.0,0.0,1.0,3.0,13140010.0,1.0,0.6666667
20.0,0.0,1.0,240000.0,0.0,16.0,42.0,0.0,0.0,11.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,selected,1.0,0.0,1.0,3.0,63520505.0,1.0,0.6666667
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,control,0.0,0.0,1.0,3.0,13140010.0,1.0,0.6666667
21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,selected,0.0,0.0,1.0,3.0,63520505.0,1.0,0.6666667
21.0,0.0,1.0,0.0,240000.0,30.0,21.0,0.0,0.0,11.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,control,0.0,0.0,1.0,3.0,66210010.0,0.0,0.6666667
24.0,0.0,1.0,200000.0,0.0,25.0,60.0,0.0,0.0,11.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,selected,1.0,0.0,1.0,3.0,13140010.0,0.0,0.6666667
21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,control,0.0,0.0,1.0,3.0,63520505.0,1.0,0.6666667
22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,control,0.0,0.0,1.0,4.0,33140005.0,1.0,0.6666667
24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,control,0.0,0.0,1.0,4.0,63110005.0,1.0,0.6666667
26.0,1.0,1.0,0.0,0.0,15.0,40.0,0.0,0.0,11.0,1.0,25.0,1.0,1.0,30000.0,0.0,22.0,18.0,0.0,0.0,11.0,selected,0.0,1.0,1.0,4.0,33140005.0,1.0,0.6666667
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,selected,0.0,0.0,1.0,4.0,63110005.0,1.0,0.6666667
22.0,1.0,1.0,200000.0,0.0,26.0,48.0,0.0,1.0,11.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,control,1.0,0.0,1.0,4.0,33140005.0,1.0,0.6666667
21.0,1.0,1.0,370000.0,0.0,20.0,30.0,0.0,0.0,11.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,selected,1.0,0.0,1.0,4.0,33140005.0,0.0,0.6666667
25.0,0.0,1.0,360000.0,0.0,28.0,48.0,0.0,0.0,11.0,1.0,23.0,0.0,1.0,180000.0,0.0,30.0,64.0,0.0,0.0,11.0,control,1.0,1.0,1.0,4.0,63110005.0,1.0,0.6666667
21.0,0.0,1.0,0.0,120000.0,20.0,64.0,0.0,0.0,11.0,1.0,20.0,0.0,1.0,180000.0,0.0,15.0,16.0,0.0,1.0,11.0,selected,0.0,1.0,1.0,4.0,63110005.0,0.0,0.6666667
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,19.0,0.0,1.0,120000.0,0.0,12.0,36.0,0.0,0.0,11.0,selected,0.0,1.0,1.0,4.0,33140005.0,1.0,0.6666667
25.0,1.0,1.0,700000.0,0.0,30.0,98.0,0.0,0.0,11.0,1.0,24.0,1.0,1.0,358000.0,0.0,22.0,20.0,0.0,0.0,11.0,selected,1.0,1.0,1.0,4.0,33140005.0,0.0,0.6666667
20.0,0.0,1.0,408000.0,0.0,30.0,56.0,1.0,1.0,11.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,selected,1.0,0.0,1.0,4.0,63110005.0,0.0,0.6666667
23.0,1.0,1.0,0.0,200000.0,30.0,60.0,0.0,0.0,11.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,selected,0.0,0.0,1.0,4.0,63110005.0,0.0,0.6666667
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,22.0,0.0,1.0,0.0,100000.0,10.0,5.0,0.0,0.0,11.0,selected,0.0,0.0,1.0,4.0,33140005.0,1.0,0.6666667
23.0,0.0,1.0,360000.0,0.0,26.0,54.0,1.0,1.0,11.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,selected,1.0,0.0,1.0,5.0,83220005.0,0.0,0.667023
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,control,0.0,0.0,1.0,5.0,33140005.0,1.0,0.667023
23.0,0.0,1.0,120000.0,0.0,26.0,36.0,0.0,0.0,11.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,control,1.0,0.0,1.0,5.0,33160005.0,1.0,0.667023
24.0,0.0,1.0,0.0,300000.0,28.0,48.0,0.0,0.0,11.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,control,0.0,0.0,1.0,5.0,64330010.0,0.0,0.667023
25.0,0.0,1.0,400000.0,0.0,26.0,48.0,1.0,1.0,11.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,control,1.0,0.0,1.0,5.0,84210330.0,0.0,0.667023
20.0,0.0,1.0,120000.0,0.0,8.0,22.0,0.0,0.0,11.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,control,1.0,0.0,1.0,5.0,33160005.0,1.0,0.667023
25.0,0.0,1.0,240000.0,0.0,26.0,48.0,0.0,0.0,11.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,control,1.0,0.0,1.0,5.0,13120005.0,1.0,0.667023
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,control,0.0,0.0,1.0,5.0,83220005.0,0.0,0.667023
20.0,0.0,1.0,400000.0,0.0,26.0,66.0,0.0,0.0,11.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,selected,1.0,0.0,1.0,5.0,93710505.0,0.0,0.667023
25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,control,0.0,0.0,1.0,5.0,13420005.0,1.0,0.667023
25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,selected,0.0,0.0,1.0,5.0,13120005.0,1.0,0.667023
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,23.0,0.0,1.0,0.0,60000.0,18.0,16.0,0.0,0.0,11.0,selected,0.0,0.0,1.0,5.0,83520025.0,0.0,0.667023
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,control,0.0,0.0,1.0,5.0,33140005.0,0.0,0.667023
23.0,0.0,1.0,120000.0,0.0,8.0,72.0,0.0,0.0,11.0,1.0,22.0,0.0,1.0,120000.0,0.0,8.0,20.0,0.0,0.0,11.0,control,1.0,1.0,1.0,5.0,13120005.0,0.0,0.667023
21.0,0.0,1.0,0.0,200000.0,25.0,20.0,0.0,0.0,9.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,selected,0.0,0.0,1.0,5.0,33140005.0,1.0,0.667023
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,control,0.0,0.0,1.0,5.0,13120005.0,0.0,0.667023
